reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
CYStpp	L-cysteine export via facilitated transport	NP_384407_1 or NP_386214_1 or NP_437963_1	3	SMc00381 (hypothetical protein SMc00381) — non-enzyme/family/domain annotation | SMc01425 (hypothetical protein SMc01425) — non-enzyme/family/domain annotation | SMb20716 (hypothetical protein SM_b20716 (plasmid)) — non-enzyme/family/domain annotation		3
ECOAH1	3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	NP_384472_1 or NP_385351_1 or NP_386387_1 or NP_438091_1	4	SMc01153 (enoyl-CoA hydratase) — no word in common with the reaction name while another alternative has | SMc01806 (enoyl-CoA hydratase) — no word in common with the reaction name while another alternative has | SMc01669 (enoyl-CoA hydratase) — no word in common with the reaction name while another alternative has		3
CDGUNPD	3,5-cyclic-nucleotide phosphodiesterase	NP_385065_1 or NP_436089_2 or NP_437405_1 or NP_438062_1	4	SMc00038 (hypothetical protein SMc00038) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMb21200 (two-component response regulator protein (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMb20610 (two-component response regulator protein (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		3
PGMT	Phosphoglucomutase	NP_385030_1 or NP_386545_1 or NP_437200_1 or NP_437979_1	4	SMc00079 (hypothetical protein SMc00079) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMc01502 (hydrolase phosphatase) — no word in common with the reaction name while another alternative has | SMb20747 (hypothetical protein SM_b20747 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		3
PDE1	3',5'-cyclic-nucleotide phosphodiesterase	NP_384574_1 or NP_387058_1 or NP_435864_1 or NP_436969_1	4	SMc02179 (hypothetical protein SMc02179) — non-enzyme/family/domain annotation | SMc03141 (hypothetical protein SMc03141, partial) — non-enzyme/family/domain annotation | SMb20447 (hypothetical protein SM_b20447 (plasmid)) — non-enzyme/family/domain annotation		3
SSALy	Succinate-semialdehyde dehydrogenase (NADP)	NP_384120_1 or NP_386318_1 or NP_386611_1 or NP_436904_1	4	SMc01588 (aldehyde dehydrogenase) — no word in common with the reaction name while another alternative has | SMc01971 (aldehyde dehydrogenase) — no word in common with the reaction name while another alternative has | SMb20378 (aldehyde dehydrogenase (plasmid)) — no word in common with the reaction name while another alternative has		3
GPDDA2	Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine)	NP_385184_1 or NP_385598_1 or NP_387070_1	3	SMc02646 (hypothetical protein SMc02646) — non-enzyme/family/domain annotation | SMc02104 (hypothetical protein SMc02104) — non-enzyme/family/domain annotation | SMc03129 (hypothetical protein SMc03129) — non-enzyme/family/domain annotation		3
GPDDA1	Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)	NP_385184_1 or NP_385598_1 or NP_387070_1	3	SMc02646 (hypothetical protein SMc02646) — non-enzyme/family/domain annotation | SMc02104 (hypothetical protein SMc02104) — non-enzyme/family/domain annotation | SMc03129 (hypothetical protein SMc03129) — non-enzyme/family/domain annotation		3
ALDD2x	Aldehyde dehydrogenase (acetaldehyde, NAD)	NP_386457_1 or NP_387396_1 or NP_387408_1 or NP_435677_1 or NP_436261_1 or NP_436440_1 or NP_437519_1 or NP_437725_1	8	SMc04397 (L-sorbosone dehydrogenase, NADP dependent protein) — no word in common with the reaction name while another alternative has | SMa0796 (hypothetical protein SMa0796 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMb20891 (dehydrogenase (plasmid)) — no word in common with the reaction name while another alternative has		3
ACS	Acetyl-CoA synthetase	NP_384825_1 or NP_386737_1 or NP_387433_1 or NP_435543_1	4	SMc00774 (acetoacetyl-CoA synthetase) — no word in common with the reaction name while another alternative has | SMc00741 (fatty-acid-CoA ligase) — no word in common with the reaction name while another alternative has | SMa0567 (hypothetical protein SMa0567 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		3
NTPP1	Nucleoside triphosphate pyrophosphorylase (dgtp)	NP_385214_1 or NP_385573_1 or NP_386729_1	3	SMc02554 (hypothetical protein SMc02554) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMc02448 (mutator protein 7,8-dihydro-8-oxoguanine-triphosphatase) — no word in common with the reaction name while another alternative has		2
